"Date","Price","Open","High","Low","Change %"
"Jan 19, 2017","8.6906","8.7081","8.7735","8.6161","-0.20%"
"Jan 20, 2017","8.6963","8.6927","8.7152","8.6665","0.07%"
"Jan 22, 2017","8.6893","8.6893","8.6893","8.6893","-0.08%"
"Jan 23, 2017","8.6885","8.6893","8.6989","8.6389","-0.01%"
"Jan 24, 2017","8.6355","8.6814","8.6919","8.6170","-0.61%"
"Jan 25, 2017","8.6483","8.6384","8.6658","8.5824","0.15%"
"Jan 26, 2017","8.7840","8.6458","8.8041","8.6343","1.57%"
"Jan 27, 2017","8.7002","8.7844","8.7856","8.6599","-0.95%"
"Jan 29, 2017","8.6894","8.6931","8.6931","8.6894","-0.12%"
"Jan 30, 2017","8.7176","8.6894","8.7575","8.6894","0.32%"
"Jan 31, 2017","8.7350","8.7091","8.7541","8.7023","0.20%"
"Feb 01, 2017","8.7356","8.7453","8.7787","8.7154","0.01%"
"Feb 02, 2017","8.6311","8.7375","8.7540","8.5507","-1.20%"
"Feb 03, 2017","8.5963","8.6347","8.6734","8.5551","-0.40%"
"Feb 05, 2017","8.5811","8.5904","8.5920","8.5811","-0.18%"
"Feb 06, 2017","8.5957","8.5819","8.6492","8.5350","0.17%"
"Feb 07, 2017","8.6219","8.5811","8.6421","8.5595","0.30%"
"Feb 08, 2017","8.6176","8.6178","8.6605","8.5980","-0.05%"
"Feb 09, 2017","8.5820","8.6174","8.6342","8.5496","-0.41%"
"Feb 10, 2017","8.4617","8.5831","8.5881","8.4617","-1.40%"
"Feb 12, 2017","8.4430","8.4656","8.4656","8.4430","-0.22%"
"Feb 13, 2017","8.4240","8.4430","8.4621","8.4120","-0.23%"
"Feb 14, 2017","8.3156","8.4279","8.4402","8.3156","-1.29%"
"Feb 15, 2017","8.3386","8.3188","8.4157","8.2360","0.28%"
"Feb 16, 2017","8.3938","8.3355","8.4112","8.3133","0.66%"
"Feb 17, 2017","8.5092","8.4047","8.5265","8.3753","1.37%"
"Feb 19, 2017","8.5263","8.5109","8.5263","8.5056","0.20%"
"Feb 20, 2017","8.4263","8.5215","8.5215","8.4213","-1.17%"
"Feb 21, 2017","8.3342","8.4263","8.4317","8.3342","-1.09%"
"Feb 22, 2017","8.4357","8.3412","8.4545","8.3303","1.22%"
"Feb 23, 2017","8.4560","8.4467","8.4738","8.4357","0.24%"
"Feb 24, 2017","8.5043","8.4569","8.5221","8.4110","0.57%"
