history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2019-12-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1517,16;1504,04;1520,7;1502,79;771249571,167;0;0;2;189164634607;USD;124683177,747000
RTSI;RTSI;2019-12-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1501,42;1499,36;1515,14;1496,94;924882103,804;0;0;2;187202011610;USD;124683177,747000
RTSI;RTSI;2019-12-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1496,96;1476,9;1502,81;1476,33;1214998829,08;0;0;2;186645810419;USD;124683177,747000
RTSI;RTSI;2019-12-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1463,15;1454,75;1466,7;1453,58;768011384,009;0;0;2;182429752701;USD;124683177,747000
RTSI;RTSI;2019-12-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1454,23;1458,08;1460,92;1446,14;691564742,588;0;0;2;181317410411;USD;124683177,747000
RTSI;RTSI;2019-12-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1456,79;1448,82;1458,9;1445,55;652676535,138;0;0;2;181637687895;USD;124683177,747000
RTSI;RTSI;2019-12-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1448,34;1433,89;1448,65;1431,47;684032727,574;0;0;2;180583184152;USD;124683177,747000
RTSI;RTSI;2019-12-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1430,39;1430,44;1434,16;1421,35;702590826,399;0;0;2;178344950179;USD;124683177,747000
RTSI;RTSI;2019-12-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1430,03;1417,91;1433,56;1410,61;726529081,756;0;0;2;178300200883;USD;124683177,747000
RTSI;RTSI;2019-12-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1414,06;1432,13;1435,81;1414,06;871780138,742;0;0;2;176309574005;USD;124683177,747000
RTSI;RTSI;2019-12-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1432,81;1438,81;1448,98;1432,24;875922304,427;0;0;2;178647456136;USD;124683177,747000
RTSI;RTSI;2019-11-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1438,45;1438,47;1441,02;1428,03;686291677,073;0;0;2;179350763294;USD;124683177,747000
RTSI;RTSI;2019-11-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1439,18;1441,25;1442,47;1431,35;513479968,741;0;0;2;179441025896;USD;124683177,747000
RTSI;RTSI;2019-11-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1441,08;1444,41;1450,34;1437,92;652340812,023;0;0;2;179678366024;USD;124683177,747000
RTSI;RTSI;2019-11-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1440,95;1455,84;1458,88;1437,89;1362370191,56;0;0;2;179662401532;USD;124683177,747000
RTSI;RTSI;2019-11-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1454,63;1456,72;1462,51;1450,92;612858238,223;0;0;2;181368070604;USD;124683177,747000
RTSI;RTSI;2019-11-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1455,42;1453,42;1468,4;1451,5;876029365,188;0;0;2;181466607154;USD;124683177,747000
RTSI;RTSI;2019-11-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1454,74;1449,8;1456,62;1445,01;1334758517,89;0;0;2;181382221623;USD;124683177,747000
RTSI;RTSI;2019-11-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1448,4;1449,08;1452,4;1433;1264687730,6;0;0;2;180591714666;USD;124683177,747000
RTSI;RTSI;2019-11-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1451,64;1445,16;1456,01;1441,99;824360597,603;0;0;2;180995128548;USD;124683177,747000
RTSI;RTSI;2019-11-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1443,02;1456,17;1461,2;1436,74;901625467,654;0;0;2;179920259972;USD;124683177,747000
RTSI;RTSI;2019-11-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1449,42;1440,29;1450,84;1435,54;886922855,739;0;0;2;180718807440;USD;124683177,747000
RTSI;RTSI;2019-11-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1436,98;1438,67;1448,54;1425,44;1149759235,41;0;0;2;179167748122;USD;124683177,747000
RTSI;RTSI;2019-11-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1437,85;1443,19;1443,19;1430,91;887507043,888;0;0;2;179275941775;USD;124683177,747000
RTSI;RTSI;2019-11-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1449,35;1461,37;1471,19;1447,83;977268889,232;0;0;2;180709393739;USD;124683177,747000
RTSI;RTSI;2019-11-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1460,84;1464,32;1466,12;1455,79;818403672,021;0;0;2;182141918255;USD;124683177,747000
RTSI;RTSI;2019-11-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1468,17;1486,56;1486,56;1457,39;801619211,066;0;0;2;183056184121;USD;124683177,747000
RTSI;RTSI;2019-11-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1487,03;1468,6;1487,82;1463,29;1038478527,72;0;0;2;185407054535;USD;124683177,747000
RTSI;RTSI;2019-11-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1471,38;1463,46;1471,38;1453,03;872579295,521;0;0;2;183456954791;USD;124683177,747000
RTSI;RTSI;2019-11-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1460,5;1463,31;1473,74;1454,98;915297933,745;0;0;2;182100184261;USD;124683177,747000
RTSI;RTSI;2019-11-01;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1455,44;1422,26;1455,44;1419,91;880970090,215;0;0;2;181469478733;USD;124683177,747000
RTSI;RTSI;2019-10-31;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1422,92;1439,21;1451,26;1417,49;1170173992,77;0;0;2;177414574766;USD;124683177,747000
RTSI;RTSI;2019-10-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1431,9;1419,81;1437,01;1416,43;1139993104,66;0;0;2;178533440593;USD;124683177,747000
RTSI;RTSI;2019-10-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1424,05;1412,45;1424,05;1405;1094957262,33;0;0;2;177555527379;USD;124683177,747000
RTSI;RTSI;2019-10-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1411,92;1420,31;1432,26;1408,97;1135644045,22;0;0;2;176042990371;USD;124683177,747000
RTSI;RTSI;2019-10-25;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1421,2;1414,15;1423,14;1402,56;1200362975,76;0;0;2;177199263044;USD;124683177,747000
RTSI;RTSI;2019-10-24;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1413,63;1390,68;1413,63;1390,54;1177364685,59;0;0;2;176255364926;USD;124683177,747000
