"Date","Price","Open","High","Low","Change %"
"Dec 21, 2017","58.4615","58.7035","58.7068","58.4261","-0.41%"
"Dec 22, 2017","58.3697","58.4615","58.4616","58.2079","-0.16%"
"Dec 25, 2017","57.9674","58.3697","58.3764","57.8083","-0.69%"
"Dec 26, 2017","57.6230","57.9674","58.0099","57.5805","-0.59%"
"Dec 27, 2017","57.7424","57.6230","57.9156","57.3927","0.21%"
"Dec 28, 2017","57.5153","57.7424","57.7435","57.4030","-0.39%"
"Dec 29, 2017","57.6114","57.5153","57.9112","57.4785","0.17%"
"Jan 03, 2018","57.2561","57.6114","57.6114","57.1262","-0.62%"
"Jan 04, 2018","56.8765","57.2561","57.2845","56.8000","-0.66%"
"Jan 05, 2018","56.9903","56.8765","57.1261","56.8765","0.20%"
"Jan 09, 2018","56.9930","56.9903","57.1833","56.8313","0.00%"
"Jan 10, 2018","57.0222","56.9930","57.0982","56.7715","0.05%"
"Jan 11, 2018","56.4285","57.0222","57.0698","56.4285","-1.04%"
"Jan 12, 2018","56.6433","56.4285","56.7417","56.4274","0.38%"
"Jan 15, 2018","56.3352","56.6433","56.6500","56.2748","-0.54%"
"Jan 16, 2018","56.5307","56.3352","56.5428","56.3197","0.35%"
"Jan 17, 2018","56.7504","56.5307","56.9430","56.5290","0.39%"
"Jan 18, 2018","56.5177","56.7504","56.8356","56.4102","-0.41%"
"Jan 19, 2018","56.7174","56.5177","56.7350","56.5177","0.35%"
"Jan 22, 2018","56.5021","56.7174","56.7177","56.4497","-0.38%"
"Jan 23, 2018","56.3553","56.5021","56.5872","56.3408","-0.26%"
"Jan 24, 2018","56.1780","56.3553","56.4700","56.1700","-0.31%"
"Jan 25, 2018","55.9244","56.1780","56.1780","55.5973","-0.45%"
"Jan 26, 2018","56.2572","55.9244","56.2638","55.7445","0.60%"
"Jan 29, 2018","56.3178","56.2572","56.5132","56.1750","0.11%"
"Jan 30, 2018","56.3823","56.3178","56.4387","55.8859","0.11%"
"Jan 31, 2018","56.2075","56.3823","56.3850","56.0870","-0.31%"
"Feb 01, 2018","55.9171","56.2075","56.4189","55.9171","-0.52%"
"Feb 02, 2018","56.5501","55.9171","56.5510","55.9135","1.13%"
"Feb 05, 2018","57.2066","56.5501","57.2224","56.4996","1.16%"
"Feb 06, 2018","56.8765","57.2066","57.4269","56.8663","-0.58%"
"Feb 07, 2018","57.6110","56.8765","57.6110","56.7790","1.29%"
"Feb 08, 2018","58.4188","57.6110","58.4195","57.5303","1.40%"
"Feb 09, 2018","58.3863","58.4188","58.7583","57.9218","-0.06%"
"Feb 12, 2018","57.8294","58.3863","58.3863","57.6631","-0.95%"
"Feb 13, 2018","57.6292","57.8294","57.9505","57.6102","-0.35%"
"Feb 14, 2018","56.7102","57.6292","57.7625","56.7101","-1.59%"
"Feb 15, 2018","56.4008","56.7102","56.8745","56.3995","-0.55%"
"Feb 16, 2018","56.3906","56.4008","56.4670","56.1806","-0.02%"
"Feb 19, 2018","56.4710","56.3906","56.5484","56.2489","0.14%"
"Feb 20, 2018","56.5621","56.4710","56.7657","56.4027","0.16%"
"Feb 21, 2018","56.7495","56.5621","56.7690","56.4645","0.33%"
"Feb 22, 2018","56.5174","56.7495","56.8517","56.4893","-0.41%"
"Feb 26, 2018","55.7134","56.5174","56.5175","55.7120","-1.42%"
"Feb 27, 2018","56.2801","55.7134","56.3423","55.5655","1.02%"
"Feb 28, 2018","56.3291","56.2801","56.4651","56.0549","0.09%"
"Mar 01, 2018","56.8218","56.3291","57.0454","56.3291","0.87%"
"Mar 02, 2018","56.8092","56.8218","57.3715","56.5786","-0.02%"
"Mar 05, 2018","56.4175","56.8092","57.2832","56.4175","-0.69%"
"Mar 06, 2018","56.6653","56.4175","56.7557","56.2690","0.44%"
"Mar 07, 2018","56.8026","56.6653","57.0530","56.6653","0.24%"
"Mar 09, 2018","56.6574","56.8026","57.0952","56.5997","-0.26%"
"Mar 12, 2018","56.8865","56.6574","56.9860","56.4977","0.40%"
"Mar 13, 2018","57.0321","56.8865","57.1216","56.6522","0.26%"
"Mar 14, 2018","57.1378","57.0321","57.2934","56.7719","0.19%"
"Mar 15, 2018","57.4571","57.1378","57.5252","56.9398","0.56%"
"Mar 16, 2018","57.4925","57.4571","57.8008","57.3934","0.06%"
"Mar 19, 2018","57.8321","57.4925","58.0234","57.4665","0.59%"
"Mar 20, 2018","57.5115","57.8321","57.8878","57.4233","-0.55%"
"Mar 21, 2018","56.8775","57.5115","57.6017","56.8554","-1.10%"
"Mar 22, 2018","57.2432","56.8775","57.2729","56.7460","0.64%"
"Mar 23, 2018","57.2738","57.2432","57.3313","56.9892","0.05%"
"Mar 26, 2018","57.1677","57.2738","57.4992","56.8285","-0.19%"
"Mar 27, 2018","57.5140","57.1677","57.5295","57.0975","0.61%"
"Mar 28, 2018","57.7175","57.5140","57.8820","57.4770","0.35%"
"Mar 29, 2018","57.2599","57.7175","57.8273","57.2521","-0.79%"
"Mar 30, 2018","57.1444","57.2599","57.4732","57.0325","-0.20%"
"Apr 02, 2018","57.4961","57.1444","57.6362","57.1444","0.62%"
"Apr 03, 2018","57.5754","57.4961","57.6986","57.4579","0.14%"
"Apr 04, 2018","57.4433","57.5754","57.9026","57.4249","-0.23%"
"Apr 05, 2018","57.7010","57.4433","57.7699","57.4433","0.45%"
"Apr 06, 2018","58.1605","57.7010","58.1675","57.7010","0.80%"
"Apr 09, 2018","60.6508","58.1605","60.6525","58.1605","4.28%"
"Apr 10, 2018","63.0382","60.6508","63.8925","60.3127","3.94%"
"Apr 11, 2018","62.5825","63.0382","65.0144","62.1459","-0.72%"
"Apr 12, 2018","62.0033","62.5825","62.8793","61.2750","-0.93%"
"Apr 13, 2018","62.0141","62.0033","62.2594","61.2551","0.02%"
"Apr 16, 2018","61.1455","62.0141","62.4793","60.9900","-1.40%"
"Apr 17, 2018","61.5287","61.1455","62.0177","60.8590","0.63%"
"Apr 18, 2018","60.8345","61.5287","61.8576","60.7676","-1.13%"
"Apr 19, 2018","60.8735","60.8345","61.1924","60.6102","0.06%"
"Apr 20, 2018","61.3989","60.8735","61.5818","60.8735","0.86%"
"Apr 23, 2018","61.8073","61.3989","62.1767","61.3226","0.67%"
"Apr 24, 2018","61.6169","61.8073","61.8078","61.3581","-0.31%"
"Apr 25, 2018","62.4365","61.6169","62.4859","61.6169","1.33%"
"Apr 26, 2018","62.7207","62.4365","62.9850","62.2430","0.46%"
"Apr 27, 2018","62.1468","62.7207","62.8341","61.8782","-0.92%"
"Apr 28, 2018","62.2628","62.7207","62.8341","61.8782","0.19%"
"Apr 30, 2018","62.9408","62.2628","63.1508","62.2402","1.09%"
"May 02, 2018","64.0141","62.9408","64.1935","62.9225","1.71%"
"May 03, 2018","63.0305","64.0141","64.0200","62.8649","-1.54%"
"May 04, 2018","62.5452","63.0305","63.4719","62.3503","-0.77%"
"May 07, 2018","62.9264","62.5452","63.0016","62.5046","0.61%"
