<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RBCM,D,04/08/17,00:00:00,7.8900000,7.9800000,7.8250000,7.8900000,231600
RBCM,D,07/08/17,00:00:00,7.9150000,8.1450000,7.5850000,7.6050000,4590300
RBCM,D,08/08/17,00:00:00,7.6000000,7.6900000,7.5900000,7.6000000,1106500
RBCM,D,09/08/17,00:00:00,7.6300000,7.6800000,7.6000000,7.6050000,504900
RBCM,D,10/08/17,00:00:00,7.6050000,7.6200000,7.6050000,7.6050000,224200
RBCM,D,11/08/17,00:00:00,7.6050000,7.6050000,7.5000000,7.5850000,465600
RBCM,D,14/08/17,00:00:00,7.6000000,7.6050000,7.5950000,7.5950000,611500
RBCM,D,15/08/17,00:00:00,7.5950000,7.6000000,7.5750000,7.5900000,833600
RBCM,D,16/08/17,00:00:00,7.5900000,7.5950000,7.5900000,7.5950000,80000
RBCM,D,17/08/17,00:00:00,7.5900000,7.6000000,7.5900000,7.5900000,30000
RBCM,D,18/08/17,00:00:00,7.6300000,7.6900000,7.6000000,7.6050000,239000
RBCM,D,21/08/17,00:00:00,7.6000000,7.6100000,7.6000000,7.6050000,63500
RBCM,D,22/08/17,00:00:00,7.6050000,7.6150000,7.6000000,7.6050000,261600
RBCM,D,23/08/17,00:00:00,7.6000000,7.6100000,7.5950000,7.5950000,236200
RBCM,D,24/08/17,00:00:00,7.6000000,7.6200000,7.6000000,7.6000000,1032000
RBCM,D,25/08/17,00:00:00,7.6000000,7.6150000,7.5950000,7.6100000,176100
RBCM,D,28/08/17,00:00:00,7.6150000,7.6300000,7.6050000,7.6050000,617000
RBCM,D,29/08/17,00:00:00,7.6100000,7.6150000,7.6100000,7.6100000,388600
RBCM,D,30/08/17,00:00:00,7.6150000,7.6900000,7.6100000,7.6100000,73000
RBCM,D,31/08/17,00:00:00,7.6300000,7.6300000,7.6100000,7.6250000,83800
RBCM,D,01/09/17,00:00:00,7.6250000,7.6350000,7.6200000,7.6200000,157800
RBCM,D,04/09/17,00:00:00,7.6300000,7.6350000,7.6200000,7.6200000,113700
RBCM,D,05/09/17,00:00:00,7.6200000,7.6300000,7.6200000,7.6200000,367100
RBCM,D,06/09/17,00:00:00,7.6200000,7.6350000,7.6200000,7.6200000,274000
RBCM,D,07/09/17,00:00:00,7.6200000,7.6500000,7.6200000,7.6300000,205200
RBCM,D,08/09/17,00:00:00,7.6350000,7.6600000,7.6300000,7.6600000,309000
RBCM,D,11/09/17,00:00:00,7.6450000,7.6600000,7.6400000,7.6550000,129000
RBCM,D,12/09/17,00:00:00,7.6500000,7.6650000,7.6500000,7.6600000,104900
RBCM,D,13/09/17,00:00:00,7.6650000,7.6800000,7.6550000,7.6800000,386700
RBCM,D,14/09/17,00:00:00,7.6800000,7.6800000,7.6750000,7.6750000,54200
RBCM,D,15/09/17,00:00:00,7.6800000,7.6950000,7.6700000,7.6900000,133400
RBCM,D,18/09/17,00:00:00,7.6950000,7.6950000,7.6700000,7.6900000,21300
RBCM,D,19/09/17,00:00:00,7.6750000,7.6800000,7.6750000,7.6800000,127300
RBCM,D,20/09/17,00:00:00,7.6900000,7.6950000,7.6800000,7.6850000,69100
RBCM,D,21/09/17,00:00:00,7.6850000,7.6850000,7.6750000,7.6800000,148300
RBCM,D,22/09/17,00:00:00,7.6750000,7.6850000,7.6750000,7.6800000,174200
RBCM,D,25/09/17,00:00:00,7.6800000,7.6900000,7.6800000,7.6800000,142100
RBCM,D,26/09/17,00:00:00,7.6800000,7.6900000,7.6800000,7.6800000,36300
RBCM,D,27/09/17,00:00:00,7.6900000,7.7000000,7.6800000,7.6800000,194800
RBCM,D,28/09/17,00:00:00,7.6800000,7.6800000,7.6800000,7.6800000,4900
RBCM,D,29/09/17,00:00:00,7.6850000,7.6950000,7.6800000,7.6950000,92800
RBCM,D,02/10/17,00:00:00,7.6900000,7.6900000,7.6850000,7.6850000,157400
